DiseaseID,DiseaseName,DiseaseDescription,SlimMapping,PathwayNames
MESH:D015746,Abdominal Pain,"Sensation of discomfort, distress, or agony in the abdominal region.",['Signs and symptoms'],Tuberculosis
MESH:D058739,Aberrant Crypt Foci,Clusters of colonic crypts that appear different from the surrounding mucosa when visualized after staining. They are of interest as putative precursors to colorectal adenomas and potential biomarkers for colorectal carcinoma.,['Cancer'],Wnt signaling pathway
MESH:D000014,"Abnormalities, Drug-Induced","Congenital abnormalities caused by medicinal substances or drugs of abuse given to or taken by the mother, or to which she is inadvertently exposed during the manufacture of such substances. The concept excludes abnormalities resulting from exposure to non-medicinal chemicals in the environment.",['Congenital abnormality'],Wnt signaling pathway
MESH:D000015,"Abnormalities, Multiple",Congenital abnormalities that affect more than one organ or body structure.,['Congenital abnormality'],ZBP1(DAI) mediated induction of type I IFNs
MESH:D000026,"Abortion, Habitual",Three or more consecutive spontaneous abortions.,['Pregnancy complication'],Viral carcinogenesis
MESH:D000022,"Abortion, Spontaneous",Expulsion of the product of FERTILIZATION before completing the term of GESTATION and without deliberate interference.,['Pregnancy complication'],Xenobiotics
MESH:D000037,Abruptio Placentae,"Premature separation of the normally implanted PLACENTA from the UTERUS. Signs of varying degree of severity include UTERINE BLEEDING, uterine MUSCLE HYPERTONIA, and FETAL DISTRESS or FETAL DEATH.",['Pregnancy complication'],VEGF signaling pathway
MESH:D000138,Acidosis,"A pathologic condition of acid accumulation or depletion of base in the body. The two main types are RESPIRATORY ACIDOSIS and metabolic acidosis, due to metabolic acid build up.",['Metabolic disease'],Transport of inorganic cations/anions and amino acids/oligopeptides
MESH:D000140,"Acidosis, Lactic",Acidosis caused by accumulation of lactic acid more rapidly than it can be metabolized. It may occur spontaneously or in association with diseases such as DIABETES MELLITUS; LEUKEMIA; or LIVER FAILURE.,['Metabolic disease'],Transcriptional Regulation by TP53
MESH:D000141,"Acidosis, Renal Tubular","A group of genetic disorders of the KIDNEY TUBULES characterized by the accumulation of metabolically produced acids with elevated plasma chloride, hyperchloremic metabolic ACIDOSIS. Defective renal acidification of URINE (proximal tubules) or low renal acid excretion (distal tubules) can lead to complications such as HYPOKALEMIA, hypercalcinuria with NEPHROLITHIASIS and NEPHROCALCINOSIS, and RICKETS.","['Genetic disease (inborn)', 'Metabolic disease', 'Urogenital disease (female)', 'Urogenital disease (male)']",Transport of inorganic cations/anions and amino acids/oligopeptides
MESH:D000152,Acne Vulgaris,"A chronic disorder of the pilosebaceous apparatus associated with an increase in sebum secretion. It is characterized by open comedones (blackheads), closed comedones (whiteheads), and pustular nodules. The cause is unknown, but heredity and age are predisposing factors.",['Skin disease'],Tuberculosis
MESH:D020083,Acquired Hyperostosis Syndrome,"Syndrome consisting of SYNOVITIS; ACNE CONGLOBATA; PALMOPLANTAR PUSTULOSIS; HYPEROSTOSIS; and OSTEITIS. The most common site of the disease is the upper anterior chest wall, characterized by predominantly osteosclerotic lesions, hyperostosis, and arthritis of the adjacent joints. The association of sterile inflammatory bone lesions and neutrophilic skin eruptions is indicative of this syndrome.",['Musculoskeletal disease'],Wnt signaling pathway
MESH:D000163,Acquired Immunodeficiency Syndrome,"An acquired defect of cellular immunity associated with infection by the human immunodeficiency virus (HIV), a CD4-positive T-lymphocyte count under 200 cells/microliter or less than 14% of total lymphocytes, and increased susceptibility to opportunistic infections and malignant neoplasms. Clinical manifestations also include emaciation (wasting) and dementia. These elements reflect criteria for AIDS as defined by the CDC in 1993.","['Immune system disease', 'Viral disease']",VEGFR2 mediated cell proliferation
MESH:D000169,Acrodermatitis,"Inflammation involving the skin of the extremities, especially the hands and feet. Several forms are known, some idiopathic and some hereditary. The infantile form is called Gianotti-Crosti syndrome.","['Congenital abnormality', 'Skin disease']",Zinc transporters
MESH:D000172,Acromegaly,"A condition caused by prolonged exposure to excessive HUMAN GROWTH HORMONE in adults. It is characterized by bony enlargement of the FACE; lower jaw (PROGNATHISM); hands; FEET; HEAD; and THORAX. The most common etiology is a GROWTH HORMONE-SECRETING PITUITARY ADENOMA. (From Joynt, Clinical Neurology, 1992, Ch36, pp79-80)","['Endocrine system disease', 'Musculoskeletal disease', 'Nervous system disease']",Vibrio cholerae infection
MESH:D020016,Activated Protein C Resistance,A hemostatic disorder characterized by a poor anticoagulant response to activated protein C (APC). The activated form of Factor V (Factor Va) is more slowly degraded by activated protein C. Factor V Leiden mutation (R506Q) is the most common cause of APC resistance.,"['Blood disease', 'Genetic disease (inborn)']",Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus
MESH:D054058,Acute Coronary Syndrome,An episode of MYOCARDIAL ISCHEMIA that generally lasts longer than a transient anginal episode that ultimately may lead to MYOCARDIAL INFARCTION.,['Cardiovascular disease'],Vpu mediated degradation of CD4
MESH:D058186,Acute Kidney Injury,Abrupt reduction in kidney function. Acute kidney injury encompasses the entire spectrum of the syndrome including acute kidney failure; ACUTE KIDNEY TUBULAR NECROSIS; and other less severe conditions.,"['Urogenital disease (female)', 'Urogenital disease (male)']",ZBP1(DAI) mediated induction of type I IFNs
MESH:D055371,Acute Lung Injury,"A condition of lung damage that is characterized by bilateral pulmonary infiltrates (PULMONARY EDEMA) rich in NEUTROPHILS, and in the absence of clinical HEART FAILURE. This can represent a spectrum of pulmonary lesions, endothelial and epithelial, due to numerous factors (physical, chemical, or biological).",['Respiratory tract disease'],Vitamin digestion and absorption
MESH:D000210,Acute-Phase Reaction,"An early local inflammatory reaction to insult or injury that consists of fever, an increase in inflammatory humoral factors, and an increased synthesis by hepatocytes of a number of proteins or glycoproteins usually found in the plasma.",['Pathology (process)'],Cell junction organization
MESH:D000224,Addison Disease,"An adrenal disease characterized by the progressive destruction of the ADRENAL CORTEX, resulting in insufficient production of ALDOSTERONE and HYDROCORTISONE. Clinical symptoms include ANOREXIA; NAUSEA; WEIGHT LOSS; MUSCLE WEAKNESS; and HYPERPIGMENTATION of the SKIN due to increase in circulating levels of ACTH precursor hormone which stimulates MELANOCYTES.","['Endocrine system disease', 'Immune system disease']",Tuberculosis
MESH:D000230,Adenocarcinoma,A malignant epithelial tumor with a glandular organization.,['Cancer'],ZBP1(DAI) mediated induction of type I IFNs
MESH:D018262,"Adenocarcinoma, Clear Cell","An adenocarcinoma characterized by the presence of varying combinations of clear and hobnail-shaped tumor cells. There are three predominant patterns described as tubulocystic, solid, and papillary. These tumors, usually located in the female reproductive organs, have been seen more frequently in young women since 1970 as a result of the association with intrauterine exposure to diethylstilbestrol. (From Holland et al., Cancer Medicine, 3d ed)",['Cancer'],Wnt signaling pathway
MESH:D018263,"Adenocarcinoma, Follicular","An adenocarcinoma of the thyroid gland, in which the cells are arranged in the form of follicles. (From Dorland, 27th ed)",['Cancer'],Viral carcinogenesis
MESH:D000077192,Adenocarcinoma of Lung,"A carcinoma originating in the lung and the most common lung cancer type in never-smokers. Malignant cells exhibit distinct features such as glandular epithelial, or tubular morphology. Mutations in KRAS, EGFR, BRAF, and ERBB2 genes are associated with this cancer.",['Cancer'],YAP1- and WWTR1 (TAZ)-stimulated gene expression
MESH:D000236,Adenoma,A benign epithelial tumor with a glandular organization.,['Cancer'],Wnt signaling pathway
MESH:D018248,"Adenoma, Liver Cell",A benign epithelial tumor of the LIVER.,"['Cancer', 'Digestive system disease']",Wnt signaling pathway
MESH:D011125,Adenomatous Polyposis Coli,"A polyposis syndrome due to an autosomal dominant mutation of the APC genes (GENES, APC) on CHROMOSOME 5. The syndrome is characterized by the development of hundreds of ADENOMATOUS POLYPS in the COLON and RECTUM of affected individuals by early adulthood.","['Cancer', 'Digestive system disease', 'Genetic disease (inborn)']",Wnt signaling pathway
MESH:D018256,Adenomatous Polyps,"Benign neoplasms derived from glandular epithelium. (From Stedman, 25th ed)",['Cancer'],Wnt signaling pathway
MESH:D000275,Adjustment Disorders,"Maladaptive reactions to identifiable psychosocial stressors occurring within a short time after onset of the stressor. They are manifested by either impairment in social or occupational functioning or by symptoms (depression, anxiety, etc.) that are in excess of a normal and expected reaction to the stressor.",['Mental disorder'],Viral carcinogenesis
MESH:D000303,Adrenal Cortex Diseases,Pathological processes of the ADRENAL CORTEX.,['Endocrine system disease'],Signal Transduction
MESH:D000307,Adrenal Gland Diseases,Pathological processes of the ADRENAL GLANDS.,['Endocrine system disease'],Transport to the Golgi and subsequent modification
MESH:D000310,Adrenal Gland Neoplasms,Tumors or cancer of the ADRENAL GLANDS.,"['Cancer', 'Endocrine system disease']",Wnt signaling pathway
MESH:D000312,"Adrenal Hyperplasia, Congenital","A group of inherited disorders of the ADRENAL GLANDS, caused by enzyme defects in the synthesis of cortisol (HYDROCORTISONE) and/or ALDOSTERONE leading to accumulation of precursors for ANDROGENS. Depending on the hormone imbalance, congenital adrenal hyperplasia can be classified as salt-wasting, hypertensive, virilizing, or feminizing. Defects in STEROID 21-HYDROXYLASE; STEROID 11-BETA-HYDROXYLASE; STEROID 17-ALPHA-HYDROXYLASE; 3-beta-hydroxysteroid dehydrogenase (3-HYDROXYSTEROID DEHYDROGENASES); TESTOSTERONE 5-ALPHA-REDUCTASE; or steroidogenic acute regulatory protein; among others, underlie these disorders.","['Congenital abnormality', 'Endocrine system disease', 'Genetic disease (inborn)', 'Metabolic disease', 'Urogenital disease (female)', 'Urogenital disease (male)']",Vesicle-mediated transport
MESH:D000309,Adrenal Insufficiency,"Conditions in which the production of adrenal CORTICOSTEROIDS falls below the requirement of the body. Adrenal insufficiency can be caused by defects in the ADRENAL GLANDS, the PITUITARY GLAND, or the HYPOTHALAMUS.",['Endocrine system disease'],Transcriptional regulation of pluripotent stem cells
MESH:D018268,Adrenocortical Carcinoma,"A malignant neoplasm of the ADRENAL CORTEX. Adrenocortical carcinomas are unencapsulated anaplastic (ANAPLASIA) masses sometimes exceeding 20 cm or 200 g. They are more likely to be functional than nonfunctional, and produce ADRENAL CORTEX HORMONES that may result in hypercortisolism (CUSHING SYNDROME); HYPERALDOSTERONISM; and/or VIRILISM.","['Cancer', 'Endocrine system disease']",Wnt signaling pathway
