DrugID,DrugName,DrugDescription,DrugTarget,DrugPharmacodynamics,DrugSmile,DrugMechanism,DrugConditions,DrugCategories
DB14509,Lithium carbonate,Lithium carbonateis a medication used to treat manic episodes of bipolar disorder.,"['O14732', 'P29218', 'P49841', 'P42263']","Lithium's mechanism of action is still unknownLabel. Lithium's therapeutic action may be due to a number of effects, ranging from inhibition of enzymes such as glycogen synthase kinase 3, inositol phosphatases, or modulation of glutamate receptors3,4.",[Li+].[Li+].[O-]C([O-])=O,"Lithium's mechanism of action is still unknownLabel. However, the “inositol depletion theory” suggests  main potential targets. These targets are inositol monophosphatase, inositol polyphosphatase, and glycogen synthase kinase (GSK-),.The “Inositol depletion theory” suggests lithium behaves as an uncompetitive inhibitor of inositol monophosphatase in a manner inversely proportional to the degree of stimulus. This inhibition lowers levels of inositol triphosphate. However, stronger inhibitors of inositol monophosphatase are not as clinically effective and low levels of inositol triphosphate are associated with memory impairment,.Lithium acts on inositol polyphosphatase as an uncompetitive inhibitor. This inhibition is thought to have multiple downstream effects that have yet to be clarified.Lithium regulates phosphorylation of GSK- which regulates other enzymes through phosphorylation. Lithium can also inhibit GSK- through interfering with the magnesium ion in the active site.TargetActionsOrganismUInositol monophosphatase Not AvailableHumansUInositol monophosphatase Not AvailableHumansUGlycogen synthase kinase- betaNot AvailableHumansUGlutamate receptor Not AvailableHumans",[],"['Acids', 'Acids, Noncarboxylic', 'Alkalies', 'Anions', 'Antidepressive Agents', 'Antimanic Agents', 'Carbon Compounds, Inorganic', 'Carbonates', 'Carbonic Acid', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Drugs that are Mainly Renally Excreted', 'Drugs that are Mainly Renally Excreted with a Narrow Therapeutic Index', 'Electrolytes', 'Enzyme Inhibitors', 'Ions', 'Lithium Compounds', 'Mood Stabilizer', 'Narrow Therapeutic Index Drugs', 'Nephrotoxic agents', 'Nervous System', 'Neurotoxic agents', 'Psycholeptics', 'Psychotropic Drugs', 'QTc Prolonging Agents', 'Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome', 'Serotonin Agents', 'Serotonin Modulators', 'Tranquilizing Agents']"
DB00996,Gabapentin,"Gabapentinis an anticonvulsant medication used in the management of peripheral neuropathic pains, postherpetic neuralgia, and partial-onset seizures.","['P54289', 'Q9NY47', 'A0A024R8I1', 'Q00975', 'P30542', 'O43525', 'Q9NR82']","Gabapentin is an anti-convulsant medication that inhibits the release of excitatory neurotransmitters, allowing for its use against pathologic neurotransmission such as that seen in neuropathic pain and seizure disorders.16,19It has a wide therapeutic index, with doses in excess of 8000 mg/kg failing to cause a fatal reaction in rats.21Gabapentin is ineffective in absence seizures and should be used in caution in patients with mixed seizure disorders involving absence seizures. Gabapentin has been associated with drug reaction with eosinophilia and systemic symptoms (DRESS), otherwise known as multi-organ hypersensitivity. This reaction can prove fatal and early symptoms such as fever, lymphadenopathy, and rash should be promptly investigated.16,17,19",NCC1(CC(O)=O)CCCCC1,"The precise mechanism through which gabapentin exerts its therapeutic effects is unclear.,The primary mode of action appears to be at the auxillary αδ- subunit of voltage-gated calcium channels (though a low affinity for the αδ- subunit has also been reported).,,The major function of these subunits is to facilitate the movement of pore-forming α subunits of calcium channels from the endoplasmic reticulum to the cell membrane of pre-synaptic neurons.There is evidence that chronic pain states can cause an increase in the expression of αδ subunits and that these changes correlate with hyperalgesia.Gabapentin appears to inhibit the action of αδ- subunits, thus decreasing the density of pre-synaptic voltage-gated calcium channels and subsequent release of excitatory neurotransmitters.It is likely that this inhibition is also responsible for the anti-epileptic action of gabapentin.There is some evidence that gabapentin also acts on adenosine receptors,and voltage-gated potassium channels,though the clinical relevance of its action at these sites is unclear.TargetActionsOrganismAVoltage-dependent calcium channel subunit alpha-/delta-inhibitorHumansUVoltage-dependent calcium channel subunit alpha-/delta-inhibitorHumansUVoltage-dependent N-type calcium channelinhibitorHumansUAdenosine receptor AagonistHumansUPotassium voltage-gated channel subfamily KQT member activatorHumansUPotassium voltage-gated channel subfamily KQT member activatorHumans",[],"['Acids, Acyclic', 'Acids, Carbocyclic', 'Amines', 'Amino Acids', 'Amino Acids, Peptides, and Proteins', 'Aminobutyrates', 'Analgesics', 'Anti-epileptic Agent', 'Anticonvulsants', 'Butyrates', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Cyclohexanecarboxylic Acids', 'Cyclohexanes', 'Cycloparaffins', 'Decreased Central Nervous System Disorganized Electrical Activity', 'Drugs causing inadvertant photosensitivity', 'Gabapentin and Prodrugs', 'Gabapentinoids', 'Miscellaneous Anticonvulsants', 'Nervous System', 'Neurotransmitter Agents', 'Peripheral Nervous System Agents', 'Photosensitizing Agents', 'Psychotropic Drugs', 'Sensory System Agents', 'Tranquilizing Agents']"
DB00740,Riluzole,Riluzoleis a glutamate antagonist used to treat amyotrophic lateral sclerosis.,"['Q14524', 'Q9UPY5']","Riluzole, a member of the benzothiazole class, is indicated for the treatment of patients with amyotrophic lateral sclerosis (ALS). Riluzole extends survival and/or time to tracheostomy. It is also neuroprotective in variousin vivoexperimental models of neuronal injury involving excitotoxic mechanisms. The etiology and pathogenesis of amyotrophic lateral sclerosis (ALS) are not known, although a number of hypotheses have been advanced. One hypothesis is that motor neurons, made vulnerable through either genetic predisposition or environmental factors, are injured by glutamate. In some cases of familial ALS the enzyme superoxide dismutase has been found to be defective.",NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2,"The mode of action of riluzole is unknown. Its pharmacological properties include the following, some of which may be related to its effect: ) an inhibitory effect on glutamate release (activation of glutamate reuptake), ) inactivation of voltage-dependent sodium channels, and ) ability to interfere with intracellular events that follow transmitter binding at excitatory amino acid receptors.TargetActionsOrganismASodium channel protein type  subunit alphainhibitorHumansACystine/glutamate transporterinducerHumans",[],"['Anticonvulsants', 'BCRP/ABCG2 Substrates', 'Benzothiazoles', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Compounds used in a research, industrial, or household setting', 'Cytochrome P-450 CYP1A2 Substrates', 'Cytochrome P-450 Substrates', 'Excitatory Amino Acid Agents', 'Excitatory Amino Acid Antagonists', 'Heterocyclic Compounds, Fused-Ring', 'Miscellaneous Central Nervous System Agents', 'Nervous System', 'Neuroprotective Agents', 'Neurotransmitter Agents', 'Protective Agents', 'Sulfur Compounds', 'Thiazoles']"
DB01083,Orlistat,Orlistatis a reversible inhibitor of gastrointestinal lipases indicated for weight loss and weight maintenance.,"['P16233', 'P07098', 'P49327']","Orlistat helps with weight reduction and maintenance by inhibiting the absorption of dietary fats via the inhibition of lipase enzymes.9,10",CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,"Orlistat is a potent and selective inhibitor of various lipase enzymes responsible for the metabolism of fat. It acts in the gastrointestinal (GI) tract via covalent binding to the serine residues located on the active site of both gastric and pancreatic lipase. When orlistat is taken with food containing fat, it partially inhibits the hydrolysis of triglycerides. This decreases absorption of monoaclglycerides and free fatty acids, contributing to weight maintenance and weight loss.,TargetActionsOrganismAPancreatic triacylglycerol lipaseinhibitorHumansAGastric triacylglycerol lipaseinhibitorHumansUFatty acid synthaseinhibitorHumans",['Weight Reduction'],"['Alimentary Tract and Metabolism', 'Anti-Obesity Agents', 'Antiobesity Preparations, Excl. Diet Products', 'Cytochrome P-450 CYP3A Inducers', 'Cytochrome P-450 CYP3A4 Inducers', 'Cytochrome P-450 CYP3A4 Inducers (strength unknown)', 'Cytochrome P-450 Enzyme Inducers', 'Enzyme Inhibitors', 'Intestinal Lipase Inhibitor', 'Lactones', 'Lipase Inhibitors', 'Lipid Regulating Agents', 'Miscellaneous GI Drugs', 'Peripherally Acting Antiobesity Products']"
DB00759,Tetracycline,Tetracyclineis an antibiotic used to treat a wide variety of susceptible infections.,"['P02359', 'P0AG59', 'P0A7V3', 'P0A7W7', 'P0A7U3', 'P04156', 'C9EH48', 'Q9UM07']","Tetracycline is a short-acting antibiotic that inhibits bacterial growth by inhibiting translation. It binds to the 30S ribosomal subunit and prevents the amino-acyl tRNA from binding to the A site of the ribosome. It also binds to some extent to the 50S ribosomal subunit. This binding is reversible in nature. Additionally tetracycline may alter the cytoplasmic membrane of bacteria causing leakage of intracellular contents, such as nucleotides, from the cell.",[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O,"Tetracycline passively diffuses through porin channels in the bacterial membrane and reversibly binds to the S ribosomal subunit, preventing binding of tRNA to the mRNA-ribosome complex, and thus interfering with protein synthesis.TargetActionsOrganismAS ribosomal protein SinhibitorEscherichia coli (strain K)AS ribosomal protein SinhibitorEscherichia coli (strain K)AS ribosomal protein SinhibitorEscherichia coli (strain K)AS ribosomal protein SinhibitorEscherichia coli (strain K)AS ribosomal protein SinhibitorEscherichia coli (strain K)AS ribosomal RNAinhibitorEnteric bacteria and other eubacteriaUMajor prion proteininhibitorHumansUMultidrug translocase MdfANot AvailableEscherichia coliUProtein-arginine deiminase type-Not AvailableHumans",[],"['Agents that produce neuromuscular block (indirect)', 'Alimentary Tract and Metabolism', 'Anti-Bacterial Agents', 'Anti-Infective Agents', 'Antibacterials for Systemic Use', 'Antibiotics for Topical Use', 'Antiinfectives and Antiseptics for Local Oral Treatment', 'Antiinfectives for Systemic Use', 'Cytochrome P-450 CYP3A Inhibitors', 'Cytochrome P-450 CYP3A Substrates', 'Cytochrome P-450 CYP3A4 Inhibitors', 'Cytochrome P-450 CYP3A4 Inhibitors (strength unknown)', 'Cytochrome P-450 CYP3A4 Substrates', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Dermatologicals', 'Drugs causing inadvertant photosensitivity', 'Drugs for Acid Related Disorders', 'Drugs for Peptic Ulcer and Gastro-Oesophageal Reflux Disease (Gord)', 'Drugs that are Mainly Renally Excreted', 'Enzyme Inhibitors', 'Naphthacenes', 'OAT1/SLC22A6 inhibitors', 'OAT3/SLC22A8 Inhibitors', 'OAT3/SLC22A8 Substrates', 'Ophthalmological and Otological Preparations', 'Ophthalmologicals', 'Organic Anion Transporting Polypeptide 2B1 Inhibitors', 'Otologicals', 'Photosensitizing Agents', 'Protein Synthesis Inhibitors', 'Sensory Organs', 'Stomatological Preparations', 'Tetracyclines']"
DB00819,Acetazolamide,"Acetazolamideis a carbonic anhydrase inhibitor used to treat edema from heart failure or medications, certain types of epilepsy, and glaucoma.","['P00915', 'P00918', 'P22748', 'O43570', 'Q9ULX7', 'P07451', 'P43166', 'P29972']","Acetazolamide is a potent carbonic anhydrase inhibitor, effective in the control of fluid secretion, in the treatment of certain convulsive disorders and in the promotion of diuresis in instances of abnormal fluid retention. Acetazolamide is not a mercurial diuretic. Rather, it is a nonbacteriostatic sulfonamide possessing a chemical structure and pharmacological activity distinctly different from the bacteriostatic sulfonamides.",CC(=O)NC1=NN=C(S1)S(N)(=O)=O,"The anticonvulsant activity of Acetazolamide may depend on a direct inhibition of carbonic anhydrase in the CNS, which decreases carbon dioxide tension in the pulmonary alveoli, thus increasing arterial oxygen tension. The diuretic effect depends on the inhibition of carbonic anhydrase, causing a reduction in the availability of hydrogen ions for active transport in the renal tubule lumen. This leads to alkaline urine and an increase in the excretion of bicarbonate, sodium, potassium, and water.TargetActionsOrganismACarbonic anhydrase inhibitorHumansACarbonic anhydrase inhibitorHumansACarbonic anhydrase inhibitorHumansACarbonic anhydrase inhibitorHumansACarbonic anhydrase inhibitorHumansACarbonic anhydrase inhibitorHumansACarbonic anhydrase inhibitorHumansUAquaporin-inhibitorHumans",['Urine alkalinization therapy'],"['Anticonvulsants', 'Antiglaucoma Agents', 'Antiglaucoma Preparations and Miotics', 'Carbonic Anhydrase Inhibitors', 'Cardiovascular Agents', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Cytochrome P-450 CYP3A Inhibitors', 'Cytochrome P-450 CYP3A4 Inhibitors', 'Cytochrome P-450 CYP3A4 Inhibitors (strength unknown)', 'Cytochrome P-450 Enzyme Inhibitors', 'Diuretics', 'Drugs causing inadvertant photosensitivity', 'Enzyme Inhibitors', 'Genito Urinary System and Sex Hormones', 'Gynecological Antiinfectives and Antiseptics', 'Natriuretic Agents', 'OAT1/SLC22A6 inhibitors', 'Ophthalmologicals', 'Photosensitizing Agents', 'Sensory Organs', 'Sulfonamides', 'Sulfur Compounds', 'Thiadiazoles', 'Thiazoles']"
DB00162,Vitamin A,Vitamin Ais a vitamin important for retinal function that is used clinically to correct vitamin A deficiency.,"['P05090', 'P41222', 'Q96NR8', 'Q92781', 'Q8NBN7', 'O94788', 'P00352', 'O95237', 'O75911', 'P47895', 'Q6NUM9', 'Q8TC12', 'Q9BTZ2', 'Q9HBH5', 'Q9NYR8']","Vitamin A is effective for the treatment of Vitamin A deficiency. Vitamin A refers to a group of fat-soluble substances that are structurally related to and possess the biological activity of the parent substance of the group called all-transretinol or retinol. Vitamin A plays vital roles in vision, epithelial differentiation, growth, reproduction, pattern formation during embryogenesis, bone development, hematopoiesis and brain development. It is also important for the maintenance of the proper functioning of the immune system.",C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,"Vision:Vitamin A (all-transretinol) is converted in the retina to the -cis-isomer of retinaldehyde or -cis-retinal. -cis-retinal functions in the retina in the transduction of light into the neural signals necessary for vision. -cis-retinal, while attached to opsin in rhodopsin is isomerized to all-trans-retinal by light. This is the event that triggers the nerve impulse to the brain which allows for the perception of light. All-trans-retinal is then released from opsin and reduced to all-trans-retinol. All-trans-retinol is isomerized to -cis-retinol in the dark, and then oxidized to -cis-retinal. -cis-retinal recombines with opsin to re-form rhodopsin. Night blindness or defective vision at low illumination results from a failure to re-synthesize -cisretinal rapidly. Epithelial differentiation: The role of Vitamin A in epithelial differentiation, as well as in other physiological processes, involves the binding of Vitamin A to two families of nuclear retinoid receptors (retinoic acid receptors, RARs; and retinoid-X receptors, RXRs). These receptors function as ligand-activated transcription factors that modulate gene transcription. When there is not enough Vitamin A to bind these receptors, natural cell differentiation and growth are interrupted.TargetActionsOrganismUApolipoprotein DligandHumansUProstaglandin-H D-isomeraseligandHumansURetinol dehydrogenase substrateHumansU-cis retinol dehydrogenasesubstrateHumansURetinol dehydrogenase substrateHumansURetinal dehydrogenase substrateHumansURetinal dehydrogenase substrateHumansULecithin retinol acyltransferasesubstrateHumansUShort-chain dehydrogenase/reductase substrateHumansUAldehyde dehydrogenase family  member AsubstrateHumansUAll-trans-retinol ,-reductasesubstrateHumansURetinol dehydrogenase substrateHumansUDehydrogenase/reductase SDR family member substrateHumansURetinol dehydrogenase substrateHumansURetinol dehydrogenase substrateHumans",['Nutritional supplementation'],"['Adjuvants, Immunologic', 'Alimentary Tract and Metabolism', 'Alkenes', 'Anti-Acne Preparations', 'Anti-Acne Preparations for Topical Use', 'Anticarcinogenic Agents', 'Antioxidants', 'Biological Factors', 'Carotenoids', 'Compounds used in a research, industrial, or household setting', 'Cyclohexanes', 'Cyclohexenes', 'Cycloparaffins', 'Dermatologicals', 'Diagnostic Agents', 'Diet, Food, and Nutrition', 'Diterpenes', 'Esters', 'Food', 'Growth Substances', 'Immunologic Factors', 'Micronutrients', 'Nasal Preparations', 'Ophthalmologicals', 'Physiological Phenomena', 'Pigments, Biological', 'Polyenes', 'Protective Agents', 'Retinoids', 'Retinoids for Topical Use in Acne', 'Sensory Organs', 'Terpenes', 'Tests for Fat Absorption', 'Vitamin A', 'Vitamins', 'Vitamins (Fat Soluble)']"
DB00795,Sulfasalazine,"Sulfasalazineis a salicylate used to treat Crohn's disease, ulcerative colitis, and rheumatoid arthritis.","['P09917', 'P35354', 'P23219', 'P24752', 'P04054', 'Q9UPY5', 'P19838', 'Q00653', 'O14920', 'O15111', 'P37231']","The mode of action of sulfasalazine or its metabolites, 5-aminosalicylic acid and sulfapyridine, is still under investigation but may be related to the anti-inflammatory and/or immunomodulatory properties that have been observed in animal andin vitromodels, to its affinity for connective tissue, and/or to the relatively high concentration it reaches in serous fluids, the liver, and intestinal walls, as demonstrated in autoradiographic studies in animals. In ulcerative colitis, clinical studies utilizing rectal administration of sulfasalazine, sulfapyridine, and 5-aminosalicylic acid have indicated that the major therapeutic action may reside in the 5-aminosalicylic acid moiety. The relative contribution of the parent drug and the major metabolites in rheumatoid arthritis is unknown.16",OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1,"Although the exact mechanism of action of sulfasalazine is not fully understood, it is thought to be mediated through the inhibition of various inflammatory molecules.Research have found that sulfasalazine and its metabolites, mesalazine and sulfapyridine, can inhibit leukotrienes and prostaglandins by blocking the cyclo-oxygenase and lipoxygenase pathway.Specific enzymes that were investigated include phospholipase A, cyclooxygenase- (COX-), cyclooxygenase- (COX), and arachidonate -lipoxygenase.,,,Inhibitory activities on other non-arachidonic acid derivatives have also been observed, including PPAR gamma, NF-Kb, and IkappaB kinases alpha and beta.,,,TargetActionsOrganismAArachidonate -lipoxygenaseinhibitorHumansAProstaglandin G/H synthase inhibitorHumansAProstaglandin G/H synthase inhibitorHumansAAcetyl-CoA acetyltransferase, mitochondrialinhibitorHumansAPhospholipase AantagonistHumansUCystine/glutamate transporterinhibitorHumansUNuclear factor NF-kappa-B p subunitinhibitorHumansUNuclear factor NF-kappa-B p subunitinhibitorHumansAInhibitor of nuclear factor kappa-B kinase subunit betainhibitorHumansUInhibitor of nuclear factor kappa-B kinase subunit alphaNot AvailableHumansUPeroxisome proliferator-activated receptor gammaagonistHumans",[],"['Agents causing hyperkalemia', 'Agents that produce hypertension', 'Alimentary Tract and Metabolism', 'Amides', 'Aminosalicylate', 'Anti-Inflammatory Agents', 'Anti-Inflammatory Agents, Non-Steroidal', 'Anti-Inflammatory Agents, Non-Steroidal (Non-Selective)', 'Antidiarrheals, Intestinal Antiinflammatory/antiinfective Agents', 'Antirheumatic Agents', 'BCRP/ABCG2 Inhibitors', 'BCRP/ABCG2 Substrates', 'Gastrointestinal Agents', 'Immunosuppressive Agents', 'Intestinal Antiinflammatory Agents', 'Methemoglobinemia Associated Agents', 'Nephrotoxic agents', 'Non COX-2 selective NSAIDS', 'NTCP Inhibitors', 'OATP1B1/SLCO1B1 Inhibitors', 'OATP1B3 inhibitors', 'Organic Anion Transporting Polypeptide 2B1 Inhibitors', 'Salicylates', 'Sulfonamides', 'Sulfones', 'Sulfur Compounds']"
DB00982,Isotretinoin,Isotretinoinis a retinoid used to treat severe recalcitrant acne.,"['P13631', 'P10276']",The pharmacodynamics of isotretinoin are poorly understood.Label,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C\C(O)=O,"Isotretinoin produces its effects through altering progress through the cell cycle, cell differentiation, survival, and apoptosis.These actions reduce sebum production, preventing the blockage of pores, and growth of acne causing bacteria.Isotretinoin and -oxo-isotretinoin both significantly reduce the production of sebum.,LabelIsotretinoin has little to no affinity for retinol binding proteins (RBPs) and retinoic acid nuclear receptors (RARs).Tretinoin and -oxo-tretinion bind to the RAR-γ receptor, which is suspected to be part of the action of acne treatment by isotretinoin.Isotretinoin induces apoptosis in sebocytes, leading to a decrease in sebum production.Isotretinoin also reduces the formation of comedones by reducing hyperkeratinization through an unknown mechanism.Isotretinoin does not directly kill bacteria but it does reduce the size of sebum ducts and makes the microenvironment less hospitable to acne causing bacteria.It may also increase immune mechanisms and alter chemotaxis of monocytes to reduce inflammation.There is preliminary evidence suggesting isotretinoin may interact with FoxO, which may explain a substantial number of isotretinoin's unexplained actions.TargetActionsOrganismURetinoic acid receptor gammaNot AvailableHumansURetinoic acid receptor alphaother/unknownHumans",[],"['Agents Causing Muscle Toxicity', 'Alkenes', 'Anti-Acne Preparations', 'Anti-Acne Preparations for Systemic Use', 'Anti-Acne Preparations for Topical Use', 'Biological Factors', 'Carotenoids', 'Cyclohexanes', 'Cyclohexenes', 'Cycloparaffins', 'Cytochrome P-450 CYP3A Substrates', 'Cytochrome P-450 CYP3A4 Substrates', 'Cytochrome P-450 Substrates', 'Dermatologicals', 'Drugs causing inadvertant photosensitivity', 'Drugs that are Mainly Renally Excreted', 'Hydrocarbons, Acyclic', 'Misc. Skin and Mucous Membrane Agents', 'Noxae', 'Photosensitizing Agents', 'Pigments, Biological', 'Polyenes', 'Retinoids', 'Retinoids for Topical Use in Acne', 'Retinoids for Treatment of Acne', 'Teratogens', 'Terpenes', 'Toxic Actions']"
DB01017,Minocycline,Minocyclineis a tetracycline analog used to treat a wide variety of infections in the body.,"['P0A7X3', 'P0A7V8', 'P01584', 'P09917', 'P14780', 'P15692', 'P29466', 'P42574', 'P99999', 'P28482', 'P53779', 'Q15759', 'P53778', 'O15264', 'Q16539', 'Q8TD08', 'P27361', 'P31152', 'Q16659', 'Q13164', 'P45983', 'P45984', 'P35228']","Minocycline is a tetracycline antibiotic that binds to the bacterial 30S ribosomal subunit and interferes with protein synthesis. It is generally given 2-4 times daily, so the duration of action is short.12Intravenous minocycline should not exceed 400mg in 24 hours.14Patients should be counselled regarding the risks related to tooth and bone development, pseudomembranous colitis, central nervous system side effects, and pseudotumor cerebri.10",[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,"Tetracyclines enter bacterial cells through OmpF and OmpC porins by coordinating with cations like magnesium.This allows tetracyclines into the periplasm where they dissociate, allowing the lipophilic tetracycline to diffuse into the bacterial cytoplasm.Tetracyclines prevent aminoacyl-tRNA from binding to the S ribosome, inhibiting protein synthesis.,,,TargetActionsOrganismAS ribosomal protein SinhibitorEscherichia coli (strain K)AS ribosomal protein SinhibitorEscherichia coli (strain K)US ribosomal RNAinhibitorEnteric bacteria and other eubacteriaUInterleukin- betamodulatorHumansUArachidonate -lipoxygenaseinhibitorHumansUMatrix metalloproteinase-inhibitorHumansUVascular endothelial growth factor AinhibitorHumansUCaspase-negative modulatorHumansUCaspase-negative modulatorHumansUCytochrome cnegative modulatorHumansUMitogen-activated Protein KinasesinhibitorHumansUNitric oxide synthase, inducibleinhibitorHumans",[],"['Agents Causing Muscle Toxicity', 'Agents that produce neuromuscular block (indirect)', 'Alimentary Tract and Metabolism', 'Anti-Acne Preparations', 'Anti-Acne Preparations for Topical Use', 'Anti-Bacterial Agents', 'Anti-Infective Agents', 'Antibacterials for Systemic Use', 'Antiinfectives and Antiseptics for Local Oral Treatment', 'Antiinfectives for Systemic Use', 'Antiinfectives for Treatment of Acne', 'Dermatologicals', 'Drugs causing inadvertant photosensitivity', 'Naphthacenes', 'OAT1/SLC22A6 inhibitors', 'OAT3/SLC22A8 Inhibitors', 'Photosensitizing Agents', 'Stomatological Preparations', 'Tetracyclines']"
