DrugID,DiseaseID
DB09140,MESH:D000013
DB00730,MESH:D000013
DB00898,MESH:D000013
DB01168,MESH:D000013
DB00550,MESH:D000013
DB00668,MESH:D000013
DB00307,MESH:D000013
DB00313,MESH:D000013
DB01181,MESH:D000013
DB00347,MESH:D000013
DB01033,MESH:D000013
DB00531,MESH:D000013
DB00158,MESH:D000013
DB00252,MESH:D000013
DB00523,MESH:D000013
DB09130,MESH:D000013
DB00541,MESH:D000013
DB00755,MESH:D000013
DB11155,MESH:D000013
DB09256,MESH:D000013
DB00977,MESH:D000013
DB00400,MESH:D000013
DB00811,MESH:D000013
DB00564,MESH:D000013
DB00993,MESH:D000013
DB00205,MESH:D000013
DB00682,MESH:D000014
DB00267,MESH:D000014
DB00584,MESH:D000014
DB01234,MESH:D000014
DB00898,MESH:D000014
DB00617,MESH:D000014
DB01577,MESH:D000014
DB00987,MESH:D000014
DB00694,MESH:D000014
DB00242,MESH:D000014
DB00321,MESH:D000014
DB00158,MESH:D000014
DB00783,MESH:D000014
DB00438,MESH:D000014
DB01373,MESH:D000014
DB00982,MESH:D000014
DB00554,MESH:D000014
DB00715,MESH:D000014
DB00162,MESH:D000014
DB01156,MESH:D000014
DB00333,MESH:D000014
DB00316,MESH:D000014
DB01413,MESH:D000014
DB01115,MESH:D000014
DB00688,MESH:D000014
DB00313,MESH:D000014
DB00201,MESH:D000014
DB00502,MESH:D000014
DB06774,MESH:D000014
DB01388,MESH:D000014
DB00489,MESH:D000014
DB01159,MESH:D000014
DB00184,MESH:D000014
DB00493,MESH:D000014
DB09061,MESH:D000014
DB00904,MESH:D000014
DB00945,MESH:D000014
DB08846,MESH:D000014
DB00279,MESH:D000014
DB00389,MESH:D000014
DB01174,MESH:D000014
DB00926,MESH:D000014
DB00907,MESH:D000014
DB01005,MESH:D000014
DB00531,MESH:D000014
DB00470,MESH:D000014
DB01050,MESH:D000014
DB00871,MESH:D000014
DB00252,MESH:D000014
DB00564,MESH:D000014
DB01041,MESH:D000014
DB01242,MESH:D000014
DB00196,MESH:D000014
DB00255,MESH:D000014
DB00698,MESH:D000014
DB00795,MESH:D000014
DB00997,MESH:D000014
DB00608,MESH:D000014
DB00475,MESH:D000014
DB01026,MESH:D000014
DB00468,MESH:D000014
DB00916,MESH:D000014
DB00433,MESH:D000014
DB14509,MESH:D000014
DB00182,MESH:D000014
DB00661,MESH:D000014
DB00977,MESH:D000014
DB01092,MESH:D000014
DB09140,MESH:D000014
DB00635,MESH:D000014
DB00481,MESH:D000014
DB00929,MESH:D000014
DB00755,MESH:D000014
DB00495,MESH:D000014
DB00347,MESH:D000014
DB06710,MESH:D000014
DB01394,MESH:D000014
DB00763,MESH:D000014
DB00295,MESH:D000014
DB01783,MESH:D000014
DB00819,MESH:D000014
DB00928,MESH:D000014
DB00822,MESH:D000014
DB00563,MESH:D000014
DB00755,MESH:D000015
DB00794,MESH:D000015
DB14001,MESH:D000015
DB00586,MESH:D000015
DB01097,MESH:D000015
DB11155,MESH:D000015
DB00929,MESH:D000015
DB00531,MESH:D000015
DB00347,MESH:D000015
DB00480,MESH:D000015
DB00162,MESH:D000015
DB00514,MESH:D000015
DB00907,MESH:D000015
DB00982,MESH:D000015
DB00242,MESH:D000015
DB00783,MESH:D000015
DB01174,MESH:D000015
DB00563,MESH:D000015
DB09130,MESH:D000015
DB00252,MESH:D000015
DB01041,MESH:D000015
DB00201,MESH:D000015
DB00619,MESH:D000015
DB00564,MESH:D000015
DB00313,MESH:D000015
DB00459,MESH:D000015
DB09131,MESH:D000015
DB00619,MESH:D000022
DB01033,MESH:D000022
DB00834,MESH:D000022
DB00982,MESH:D000022
DB00907,MESH:D000022
DB00929,MESH:D000022
DB00917,MESH:D000022
DB00255,MESH:D000022
DB00331,MESH:D000022
DB00787,MESH:D000022
DB00203,MESH:D000026
DB00907,MESH:D000037
DB01577,MESH:D000037
DB01174,MESH:D000037
DB02709,MESH:D000067877
DB01593,MESH:D000067877
DB00624,MESH:D000067877
DB00279,MESH:D000067877
DB00313,MESH:D000067877
DB02709,MESH:D000068079
DB00285,MESH:D000068079
DB01076,MESH:D000068079
DB00763,MESH:D000068079
DB09270,MESH:D000068079
DB08882,MESH:D000068079
DB00252,MESH:D000068079
DB01119,MESH:D000068079
DB00550,MESH:D000068079
DB11672,MESH:D000070642
DB01064,MESH:D000072657
DB01112,MESH:D000072660
DB00166,MESH:D000072660
DB00435,MESH:D000072660
DB00394,MESH:D000075222
DB00960,MESH:D000075222
DB00381,MESH:D000075222
DB00741,MESH:D000075222
DB05294,MESH:D000077192
DB00571,MESH:D000077192
DB00361,MESH:D000077192
DB01169,MESH:D000077192
DB08865,MESH:D000077192
DB00317,MESH:D000077192
DB02709,MESH:D000077192
DB00277,MESH:D000077192
DB00668,MESH:D000077192
DB01229,MESH:D000077192
DB00780,MESH:D000077192
DB00570,MESH:D000077192
DB00642,MESH:D000077192
DB01248,MESH:D000077192
DB00290,MESH:D000077195
DB00544,MESH:D000077195
DB01248,MESH:D000077195
DB00997,MESH:D000077195
DB02709,MESH:D000077195
DB00563,MESH:D000077195
DB01229,MESH:D000077195
DB00541,MESH:D000077195
DB05294,MESH:D000077195
DB00997,MESH:D000077216
DB00531,MESH:D000077216
DB01234,MESH:D000077216
DB01229,MESH:D000077216
DB00501,MESH:D000077216
DB00283,MESH:D000077216
DB01098,MESH:D000077273
DB00544,MESH:D000077274
DB02709,MESH:D000077274
DB01169,MESH:D000077274
